2025-06-27 13:00:53.075 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Hetlioz
2025-06-27 13:20:09.185 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tezspire. Retrying...(5/5)
2025-06-27 13:20:12.318 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Latuda
2025-06-27 13:20:12.325 | INFO     | adapters.download_file:download_pdf:92 - Downloading 186/336 : Alli
2025-06-27 13:20:12.362 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Alli. Retrying...(1/5)
2025-06-27 13:20:13.549 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Lixiana. Retrying...(2/5)
2025-06-27 13:20:14.760 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Lixiana
2025-06-27 13:20:14.761 | INFO     | adapters.download_file:download_pdf:92 - Downloading 187/336 : Tauvid
2025-06-27 13:20:14.817 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tauvid. Retrying...(1/5)
2025-06-27 13:20:16.175 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Dovato. Retrying...(4/5)
2025-06-27 13:20:16.797 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Dectova. Retrying...(5/5)
2025-06-27 13:20:19.201 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Tezspire
2025-06-27 13:20:19.206 | INFO     | adapters.download_file:download_pdf:92 - Downloading 188/336 : Eribulin-baxter
2025-06-27 13:20:19.223 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Dovato. Retrying...(5/5)
2025-06-27 13:20:19.245 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Eribulin-baxter. Retrying...(1/5)
2025-06-27 13:20:19.408 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Alli. Retrying...(2/5)
2025-06-27 13:20:27.861 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tauvid. Retrying...(2/5)
2025-06-27 13:20:29.805 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Dectova
2025-06-27 13:20:29.811 | INFO     | adapters.download_file:download_pdf:92 - Downloading 189/336 : Akantior
2025-06-27 13:20:30.049 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Akantior
2025-06-27 13:20:30.050 | INFO     | adapters.download_file:download_pdf:92 - Downloading 190/336 : Duloxetine-zentiva
2025-06-27 13:20:30.090 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Duloxetine-zentiva. Retrying...(1/5)
2025-06-27 13:20:30.231 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Dovato
2025-06-27 13:20:30.237 | INFO     | adapters.download_file:download_pdf:92 - Downloading 191/336 : Puregon
2025-06-27 13:20:30.272 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Puregon. Retrying...(1/5)
2025-06-27 13:20:30.919 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tauvid. Retrying...(3/5)
2025-06-27 13:20:31.287 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Eribulin-baxter. Retrying...(2/5)
2025-06-27 13:20:32.454 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Alli. Retrying...(3/5)
2025-06-27 13:20:35.330 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Eribulin-baxter. Retrying...(3/5)
2025-06-27 13:20:36.140 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Duloxetine-zentiva. Retrying...(2/5)
2025-06-27 13:20:38.317 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Puregon. Retrying...(2/5)
2025-06-27 13:20:45.216 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Tauvid
2025-06-27 13:20:45.217 | INFO     | adapters.download_file:download_pdf:92 - Downloading 192/336 : Vaniqa
2025-06-27 13:20:45.403 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Vaniqa
2025-06-27 13:20:45.405 | INFO     | adapters.download_file:download_pdf:92 - Downloading 193/336 : Ozawade
2025-06-27 13:20:45.440 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ozawade. Retrying...(1/5)
2025-06-27 13:20:46.186 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Duloxetine-zentiva. Retrying...(3/5)
2025-06-27 13:20:47.507 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Alli. Retrying...(4/5)
2025-06-27 13:20:49.375 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Eribulin-baxter. Retrying...(4/5)
2025-06-27 13:20:53.363 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Puregon. Retrying...(3/5)
2025-06-27 13:20:55.558 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Alli. Retrying...(5/5)
2025-06-27 13:20:56.496 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ozawade. Retrying...(2/5)
2025-06-27 13:20:59.229 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Duloxetine-zentiva. Retrying...(4/5)
2025-06-27 13:21:04.563 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ozawade. Retrying...(3/5)
2025-06-27 13:21:04.660 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Eribulin-baxter
2025-06-27 13:21:04.661 | INFO     | adapters.download_file:download_pdf:92 - Downloading 194/336 : Kengrexal
2025-06-27 13:21:04.696 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Kengrexal. Retrying...(1/5)
2025-06-27 13:21:05.410 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Puregon. Retrying...(4/5)
2025-06-27 13:21:09.909 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Kengrexal
2025-06-27 13:21:09.910 | INFO     | adapters.download_file:download_pdf:92 - Downloading 195/336 : Steglujan
2025-06-27 13:21:09.946 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Steglujan. Retrying...(1/5)
2025-06-27 13:21:10.575 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Alli
2025-06-27 13:21:10.581 | INFO     | adapters.download_file:download_pdf:92 - Downloading 196/336 : Fingolimod-mylan
2025-06-27 13:21:10.639 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Fingolimod-mylan. Retrying...(1/5)
2025-06-27 13:21:12.289 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Duloxetine-zentiva. Retrying...(5/5)
2025-06-27 13:21:12.686 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Fingolimod-mylan. Retrying...(2/5)
2025-06-27 13:21:13.727 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Fingolimod-mylan. Retrying...(3/5)
2025-06-27 13:21:16.613 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ozawade. Retrying...(4/5)
2025-06-27 13:21:16.777 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Fingolimod-mylan. Retrying...(4/5)
2025-06-27 13:21:18.296 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Duloxetine-zentiva
2025-06-27 13:21:18.303 | INFO     | adapters.download_file:download_pdf:92 - Downloading 197/336 : Afinitor
2025-06-27 13:21:18.341 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Afinitor. Retrying...(1/5)
2025-06-27 13:21:18.458 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Puregon. Retrying...(5/5)
2025-06-27 13:21:22.991 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Steglujan. Retrying...(2/5)
2025-06-27 13:21:23.410 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Afinitor. Retrying...(2/5)
2025-06-27 13:21:24.654 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ozawade. Retrying...(5/5)
2025-06-27 13:21:28.468 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Puregon
2025-06-27 13:21:28.475 | INFO     | adapters.download_file:download_pdf:92 - Downloading 198/336 : Elfabrio
2025-06-27 13:21:28.685 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Elfabrio
2025-06-27 13:21:28.686 | INFO     | adapters.download_file:download_pdf:92 - Downloading 199/336 : Ganfort
2025-06-27 13:21:28.726 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ganfort. Retrying...(1/5)
2025-06-27 13:21:29.037 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Steglujan. Retrying...(3/5)
2025-06-27 13:21:29.666 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Ozawade
2025-06-27 13:21:29.676 | INFO     | adapters.download_file:download_pdf:92 - Downloading 200/336 : Byetta
2025-06-27 13:21:29.831 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Byetta
2025-06-27 13:21:29.832 | INFO     | adapters.download_file:download_pdf:92 - Downloading 201/336 : Pradaxa
2025-06-27 13:21:29.868 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pradaxa. Retrying...(1/5)
2025-06-27 13:21:30.828 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Fingolimod-mylan. Retrying...(5/5)
2025-06-27 13:21:35.310 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Steglujan
2025-06-27 13:21:35.311 | INFO     | adapters.download_file:download_pdf:92 - Downloading 202/336 : Forxiga
2025-06-27 13:21:35.351 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Forxiga. Retrying...(1/5)
2025-06-27 13:21:35.451 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Afinitor. Retrying...(3/5)
2025-06-27 13:21:38.819 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ganfort. Retrying...(2/5)
2025-06-27 13:21:39.393 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Forxiga. Retrying...(2/5)
2025-06-27 13:21:41.830 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Fingolimod-mylan
2025-06-27 13:21:41.837 | INFO     | adapters.download_file:download_pdf:92 - Downloading 203/336 : Tibsovo
2025-06-27 13:21:41.893 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tibsovo. Retrying...(1/5)
2025-06-27 13:21:41.917 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pradaxa. Retrying...(2/5)
2025-06-27 13:21:44.501 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Afinitor. Retrying...(4/5)
2025-06-27 13:21:44.869 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ganfort. Retrying...(3/5)
2025-06-27 13:21:44.941 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tibsovo. Retrying...(2/5)
2025-06-27 13:21:51.774 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Afinitor
2025-06-27 13:21:51.775 | INFO     | adapters.download_file:download_pdf:92 - Downloading 204/336 : Pifeltro
2025-06-27 13:21:51.816 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pifeltro. Retrying...(1/5)
2025-06-27 13:21:52.707 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Forxiga
2025-06-27 13:21:52.708 | INFO     | adapters.download_file:download_pdf:92 - Downloading 205/336 : Gliolan
2025-06-27 13:21:52.745 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Gliolan. Retrying...(1/5)
2025-06-27 13:21:53.003 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Tibsovo. Retrying...(3/5)
2025-06-27 13:21:53.937 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ganfort. Retrying...(4/5)
2025-06-27 13:21:55.959 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pradaxa. Retrying...(3/5)
2025-06-27 13:21:57.981 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ganfort. Retrying...(5/5)
2025-06-27 13:22:05.069 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Pifeltro
2025-06-27 13:22:05.070 | INFO     | adapters.download_file:download_pdf:92 - Downloading 206/336 : Oncaspar
2025-06-27 13:22:05.108 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Oncaspar. Retrying...(1/5)
2025-06-27 13:22:07.010 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pradaxa. Retrying...(4/5)
2025-06-27 13:22:07.178 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Tibsovo
2025-06-27 13:22:07.179 | INFO     | adapters.download_file:download_pdf:92 - Downloading 207/336 : Oxervate
2025-06-27 13:22:07.218 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Oxervate. Retrying...(1/5)
2025-06-27 13:22:07.788 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Gliolan. Retrying...(2/5)
2025-06-27 13:22:08.992 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Ganfort
2025-06-27 13:22:08.997 | INFO     | adapters.download_file:download_pdf:92 - Downloading 208/336 : Zypadhera
2025-06-27 13:22:09.036 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Zypadhera. Retrying...(1/5)
2025-06-27 13:22:09.155 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Oncaspar. Retrying...(2/5)
2025-06-27 13:22:10.096 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Zypadhera. Retrying...(2/5)
2025-06-27 13:22:12.837 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Gliolan. Retrying...(3/5)
2025-06-27 13:22:15.056 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pradaxa. Retrying...(5/5)
2025-06-27 13:22:15.173 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Zypadhera. Retrying...(3/5)
2025-06-27 13:22:19.200 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Oncaspar. Retrying...(3/5)
2025-06-27 13:22:21.277 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Oxervate. Retrying...(2/5)
2025-06-27 13:22:24.220 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Zypadhera. Retrying...(4/5)
2025-06-27 13:22:27.044 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Gliolan
2025-06-27 13:22:27.045 | INFO     | adapters.download_file:download_pdf:92 - Downloading 209/336 : Gazyvaro
2025-06-27 13:22:27.056 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Pradaxa
2025-06-27 13:22:27.063 | INFO     | adapters.download_file:download_pdf:92 - Downloading 210/336 : Velcade
2025-06-27 13:22:27.083 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Gazyvaro. Retrying...(1/5)
2025-06-27 13:22:27.235 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Velcade
2025-06-27 13:22:27.236 | INFO     | adapters.download_file:download_pdf:92 - Downloading 211/336 : Pregabalin-zentiva
2025-06-27 13:22:27.273 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pregabalin-zentiva. Retrying...(1/5)
2025-06-27 13:22:31.321 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Oxervate. Retrying...(3/5)
2025-06-27 13:22:34.271 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Oncaspar. Retrying...(4/5)
2025-06-27 13:22:34.283 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Zypadhera. Retrying...(5/5)
2025-06-27 13:22:35.373 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Oxervate. Retrying...(4/5)
2025-06-27 13:22:36.136 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Gazyvaro. Retrying...(2/5)
2025-06-27 13:22:40.313 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Oncaspar. Retrying...(5/5)
2025-06-27 13:22:40.315 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pregabalin-zentiva. Retrying...(2/5)
2025-06-27 13:22:43.430 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Gazyvaro
2025-06-27 13:22:43.431 | INFO     | adapters.download_file:download_pdf:92 - Downloading 212/336 : Siklos
2025-06-27 13:22:43.466 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Siklos. Retrying...(1/5)
2025-06-27 13:22:44.289 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Zypadhera
2025-06-27 13:22:44.295 | INFO     | adapters.download_file:download_pdf:92 - Downloading 213/336 : Xadago
2025-06-27 13:22:44.333 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Xadago. Retrying...(1/5)
2025-06-27 13:22:45.383 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Xadago. Retrying...(2/5)
2025-06-27 13:22:45.518 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Siklos. Retrying...(2/5)
2025-06-27 13:22:49.429 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Oxervate. Retrying...(5/5)
2025-06-27 13:22:50.321 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Oncaspar
2025-06-27 13:22:50.328 | INFO     | adapters.download_file:download_pdf:92 - Downloading 214/336 : Abevmy
2025-06-27 13:22:50.368 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Abevmy. Retrying...(1/5)
2025-06-27 13:22:54.381 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pregabalin-zentiva. Retrying...(3/5)
2025-06-27 13:22:56.424 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Abevmy. Retrying...(2/5)
2025-06-27 13:22:57.634 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Abevmy
2025-06-27 13:22:57.635 | INFO     | adapters.download_file:download_pdf:92 - Downloading 215/336 : Enzalutamide-viatris
2025-06-27 13:22:57.671 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Enzalutamide-viatris. Retrying...(1/5)
2025-06-27 13:22:59.435 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Xadago. Retrying...(3/5)
2025-06-27 13:22:59.569 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Siklos. Retrying...(3/5)
2025-06-27 13:23:00.427 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pregabalin-zentiva. Retrying...(4/5)
2025-06-27 13:23:02.444 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Oxervate
2025-06-27 13:23:02.450 | INFO     | adapters.download_file:download_pdf:92 - Downloading 216/336 : Yuvanci
2025-06-27 13:23:02.484 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Pregabalin-zentiva. Retrying...(5/5)
2025-06-27 13:23:02.508 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Yuvanci. Retrying...(1/5)
2025-06-27 13:23:10.694 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Xadago
2025-06-27 13:23:10.695 | INFO     | adapters.download_file:download_pdf:92 - Downloading 217/336 : Ilumetri
2025-06-27 13:23:10.728 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Enzalutamide-viatris. Retrying...(2/5)
2025-06-27 13:23:10.747 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ilumetri. Retrying...(1/5)
2025-06-27 13:23:10.798 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Siklos
2025-06-27 13:23:10.799 | INFO     | adapters.download_file:download_pdf:92 - Downloading 218/336 : Imatinib-teva
2025-06-27 13:23:10.837 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Imatinib-teva. Retrying...(1/5)
2025-06-27 13:23:13.555 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Yuvanci. Retrying...(2/5)
2025-06-27 13:23:15.888 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Imatinib-teva. Retrying...(2/5)
2025-06-27 13:23:16.500 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Pregabalin-zentiva
2025-06-27 13:23:16.506 | INFO     | adapters.download_file:download_pdf:92 - Downloading 219/336 : Hycamtin
2025-06-27 13:23:16.545 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Hycamtin. Retrying...(1/5)
2025-06-27 13:23:17.796 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ilumetri. Retrying...(2/5)
2025-06-27 13:23:18.933 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Imatinib-teva. Retrying...(3/5)
2025-06-27 13:23:19.979 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Imatinib-teva. Retrying...(4/5)
2025-06-27 13:23:22.790 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Enzalutamide-viatris. Retrying...(3/5)
2025-06-27 13:23:24.600 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Yuvanci. Retrying...(3/5)
2025-06-27 13:23:27.026 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Imatinib-teva. Retrying...(5/5)
2025-06-27 13:23:29.017 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Hycamtin
2025-06-27 13:23:29.018 | INFO     | adapters.download_file:download_pdf:92 - Downloading 220/336 : Zoonotic-influenza-vaccine-seqirus
2025-06-27 13:23:29.064 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Zoonotic-influenza-vaccine-seqirus. Retrying...(1/5)
2025-06-27 13:23:31.846 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ilumetri. Retrying...(3/5)
2025-06-27 13:23:33.842 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Enzalutamide-viatris. Retrying...(4/5)
2025-06-27 13:23:37.334 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Zoonotic-influenza-vaccine-seqirus
2025-06-27 13:23:37.336 | INFO     | adapters.download_file:download_pdf:92 - Downloading 221/336 : Orkambi
2025-06-27 13:23:37.373 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Orkambi. Retrying...(1/5)
2025-06-27 13:23:37.882 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Enzalutamide-viatris. Retrying...(5/5)
2025-06-27 13:23:38.885 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Enzalutamide-viatris
2025-06-27 13:23:38.892 | INFO     | adapters.download_file:download_pdf:92 - Downloading 222/336 : Ninlaro
2025-06-27 13:23:38.929 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ninlaro. Retrying...(1/5)
2025-06-27 13:23:39.648 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Yuvanci. Retrying...(4/5)
2025-06-27 13:23:41.027 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Imatinib-teva
2025-06-27 13:23:41.034 | INFO     | adapters.download_file:download_pdf:92 - Downloading 223/336 : Rhokiinsa
2025-06-27 13:23:41.079 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Rhokiinsa. Retrying...(1/5)
2025-06-27 13:23:41.898 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ilumetri. Retrying...(4/5)
2025-06-27 13:23:42.970 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ninlaro. Retrying...(2/5)
2025-06-27 13:23:44.690 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Yuvanci. Retrying...(5/5)
2025-06-27 13:23:48.963 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ilumetri. Retrying...(5/5)
2025-06-27 13:23:50.254 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Rhokiinsa
2025-06-27 13:23:50.255 | INFO     | adapters.download_file:download_pdf:92 - Downloading 224/336 : Insulin-aspart-sanofi
2025-06-27 13:23:50.313 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Insulin-aspart-sanofi. Retrying...(1/5)
2025-06-27 13:23:52.023 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ninlaro. Retrying...(3/5)
2025-06-27 13:23:52.426 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Orkambi. Retrying...(2/5)
2025-06-27 13:23:54.704 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Yuvanci
2025-06-27 13:23:54.711 | INFO     | adapters.download_file:download_pdf:92 - Downloading 225/336 : Klisyri
2025-06-27 13:23:54.753 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Klisyri. Retrying...(1/5)
2025-06-27 13:24:00.366 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Insulin-aspart-sanofi. Retrying...(2/5)
2025-06-27 13:24:02.978 | ERROR    | adapters.download_file:download_pdf:122 - Error: Maximum number of retries (5) reached for Ilumetri
2025-06-27 13:24:02.980 | INFO     | adapters.download_file:download_pdf:92 - Downloading 226/336 : Vemlidy
2025-06-27 13:24:03.019 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Vemlidy. Retrying...(1/5)
2025-06-27 13:24:03.669 | SUCCESS  | adapters.download_file:download_pdf:100 - Success: Orkambi
2025-06-27 13:24:03.670 | INFO     | adapters.download_file:download_pdf:92 - Downloading 227/336 : Kerendia
2025-06-27 13:24:03.734 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Kerendia. Retrying...(1/5)
2025-06-27 13:24:04.802 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Klisyri. Retrying...(2/5)
2025-06-27 13:24:05.061 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Vemlidy. Retrying...(2/5)
2025-06-27 13:24:05.074 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ninlaro. Retrying...(4/5)
2025-06-27 13:24:07.130 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Ninlaro. Retrying...(5/5)
2025-06-27 13:24:08.783 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Kerendia. Retrying...(2/5)
2025-06-27 13:24:13.123 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Vemlidy. Retrying...(3/5)
2025-06-27 13:24:14.175 | WARNING  | adapters.download_file:download_pdf:117 - Error 429 : too many requests for Vemlidy. Retrying...(4/5)
